"gene","min_ari","max_ari","ave_ari","moved:total reads","average_moved","total_reads","total_edpl","branch_length"
"COG0739",0.936044155162959,1,0.955224127211217,0.505195094760312,2265.8,5230,3945.58,713.531
"COG0740",1,1,1,0.174220963172805,984,5682,355.85,787.7694
"COG0744",0.660415590607493,1,0.8990288114909,0.2421156454198,1963.8,8785,888.743,305.35
"COG0747",0.488500691215283,1,0.897700138243057,0.326616989567809,3287.4,11029,3773.76,644.0623
"COG0750",0.058841188832183,1,0.623536475532873,0.427708978328173,1105.2,2707,562.233,649.3827
"COG0758",0.945582700384855,1,0.994558270038486,0.193562231759657,676.5,3621,227.376,376.8353
"COG0761",0.964608190326282,1,0.992921638065256,0.180742095636269,691.7,3923,92.4402,203.4016
"COG0765",0.240235332782415,1,0.701129903290209,0.194985590778098,338.3,1751,81.205,309.2153
"COG0766",1,1,1,0.272581934452438,1364,5192,129.163,213.3844
"COG0768",0.0309258823270477,1,0.575337481453562,0.314128980465614,1173.9,4018,874.476,0
"COG0770",1,1,1,0.209433962264151,732.6,3718,293.527,0
"COG0771",0.811176381325251,1,0.954323182283362,0.27296372347707,398.8,1576,68.0752,274.7751
"COG0772",1,1,1,0.200374444184414,856.2,4400,294.813,469.9809
"COG0778",0.384599224289882,1,0.887309991550516,0.412299168975069,744.2,2432,459.255,503.1916
"COG0787",1,1,1,0.314374464438732,1467.5,4998,319.556,345.2511
"COG0791",0.384599224289882,1,0.800048604070421,0.49463240905622,1944.4,5005,3761.67,604.451
"COG0796",0.341447299916201,1,0.930788808278029,0.187829854273336,476.9,2586,57.5149,374.1876
"COG0799",1,1,1,0.198704503392967,322.1,1675,39.9692,440.3073
"COG0802",0.876870585418413,0.978563933443262,0.904809506932039,0.348296593186373,521.4,1616,60.4715,349.1355
"COG0803",0.621417930067479,1,0.832317033722421,0.259579131959667,1184.2,4888,306.363,466.6976
"COG0826",0.896967050730309,1,0.927876935511216,0.250045882083047,2179.9,9101,429.972,190.8581
"COG0834",1,1,1,0.330163934426229,4330.1,14491,1918.13,457.7268
"COG0840",0.495993766789548,1,0.763227360446533,0.251700191570881,1051.1,4200,1229.97,677.2717
"COG0841",0.85920023899328,1,0.95710333059912,0.260494526236316,1380.1,5368,495.421,326.6063
"COG0855",0.942213750842082,1,0.981695783174513,0.346137732390678,1321.9,3975,260.282,115.1591
"COG0860",1,1,1,0.339102734271303,1277.4,3971,573.226,417.5983
"COG1001",0.857916158417631,1,0.965318225567629,0.204378283712785,350.1,1720,90.1896,150.1659
"COG1027",0.878827068159341,1,0.951530827263736,0.214534515516149,677.5,3196,33.0376,105.0202
"COG1052",-0.0718251906699475,0.927570399390562,0.261361367776189,0.230620985010707,646.2,2828,158.189,374.6974
"COG1053",0.119055440047268,1,0.647622176018907,0.394227994227994,819.6,2180,360.648,267.0774
"COG1066",0.791455218497516,1,0.946394639771097,0.488734353268428,702.8,1522,189.962,144.9783
"COG1080",1,1,1,0.194343978453251,1010.2,5311,206.122,175.9933
"COG1088",1,1,1,0.377410679984633,1964.8,5393,140.923,330.8378
"COG1104",1,1,1,0.274381510416667,842.9,3232,199.328,0
"COG1108",1,1,1,0.272621208192896,1051.5,3939,98.6872,386.8534
"COG1116",1,1,1,0.1849869071865,635.8,3471,448.837,727.0061
"COG1117",1,1,1,0.286714399363564,1081.2,2865,57.301,152.0546
"COG1119",0.930809590129191,1,0.986245449416915,0.297688974482427,618.3,2187,78.4699,122.9467
"COG1120",0.0646853088116219,1,0.483782970732348,0.250012422360248,1006.3,1037,127.525,454.7221
"COG1122",1,1,1,0.238279232755441,2583.9,6223,525.761,456.5577
"COG1123",0.384599224289882,1,0.527425884073072,0.271244495188387,1663,4861,738.49,290.0562
"COG1126",0.228145248544232,1,0.9019177383895,0.181920229281108,1523.4,5458,173.409,204.6762
"COG1131",0.157213222232296,1,0.91572132222323,0.259965375459857,1201.3,1404,79.1754,504.7803
"COG1132",1,1,1,0.292184585174276,2975.9,2483,176.073,494.764
"COG1134",1,1,1,0.229780380673499,784.7,2624,110.177,261.3759
"COG1136",1,1,1,0.227757323515287,4268.4,5889,269.63,457.979
"COG1160",0.298999317509129,1,0.859799863501826,0.312878435025617,1343.5,1887,82.8374,260.8794
"COG1168",0.965350606004214,1,0.996535060600421,0.144920913884007,1236.9,7949,236.793,259.7411
"COG1171",0.0694025069156956,1,0.575990091278428,0.35794761392178,997.6,1965,69.3081,313.2631
"COG1173",0.384599224289882,1,0.631560337158158,0.36232121922626,3090.6,5721,992.261,311.0273
"COG1175",0.784523182855034,1,0.978452318285503,0.164227967661891,4103.4,14414,2151.12,646.2084
"COG1177",1,1,1,0.257099811676083,682.6,2431,71.6187,238.4851
"COG1178",0.514299658068442,1,0.788039773020825,0.211360799001248,338.6,1510,136.37,297.448
"COG1181",0.00398622855527904,1,0.900398622855528,0.26940390363988,1532.1,3203,144.093,0
"COG1186",1,1,1,0.264691558441558,978.3,2672,50.6278,0
"COG1187",0.870597617990642,1,0.948239047196257,0.261950889840054,1162.8,1404,62.7341,341.4352
"COG1197",1,1,1,0.224323857253953,2596.1,4294,113.759,285.4948
"COG1198",0.430372977501718,1,0.758008129548173,0.269085266735629,1820.9,2483,129.327,0
"COG1200",0.965527912878331,1,0.989658373863499,0.246303972366149,1426.1,3334,127.059,309.5519
"COG1207",0.861079118976322,1,0.943901630119492,0.207969397513548,652.4,2406,39.8488,0
"COG1211",0.165979073243647,1,0.582989536621824,0.221334172435494,703.4,1641,81.7959,0
"COG1216",0.315110682127027,1,0.878586791972401,0.578810020876827,1109,2070,1437.58,695.9229
"COG1219",1,1,1,0.245934440187314,577.7,2087,41.7501,129.9471
"COG1268",1,1,1,0.166564282580079,379.6,2409,75.8844,287.0301
"COG1278",0.203897814063735,1,0.6667617277927,0.264027630180659,496.9,1834,270.875,654.146
"COG1301",0.962757967165762,1,0.996275796716576,0.24296631757713,858.4,2764,88.5382,240.1509
"COG1316",1,1,1,0.220158866466295,1025.5,4819,363.703,230.6814
"COG1322",1,1,1,0.23168115942029,799.3,2871,77.6462,253.4337
"COG1327",0.514788472619491,1,0.765261437192023,0.20051775147929,271.1,1119,24.3394,168.4751
"COG1328",1,1,1,0.246870335356752,2480.8,10163,261.271,145.8925
"COG1349",0.384599224289882,1,0.875769563034219,0.227945574162679,1524.5,4082,212.761,380.1445
"COG1364",0.587391336156268,1,0.93041859880105,0.190836804240818,504,2150,45.9394,197.9059
"COG1368",0.416886667383478,1,0.883377333476695,0.306326500516148,2077.2,5618,693.838,430.5725
"COG1373",0.735378618798492,1,0.867689309399246,0.29049583401405,7112.5,26764,2410.07,243.6324
"COG1396",0.384599224289882,1,0.726939557283779,0.478315182575272,1493.3,2967,962.878,344.9403
"COG1451",1,1,1,0.308785942492013,386.6,1393,117.865,267.2637
"COG1454",0.118523146427071,1,0.38296620249895,0.283509961848241,2675.2,4641,130.049,357.0192
"COG1464",1,1,1,0.158143888740305,591.3,3233,91.9352,192.82
"COG1472",0.164226180090461,1,0.34762158165447,0.447455120016137,6655,4276,1495.86,617.6784
"COG1473",0.921798851759401,1,0.976279427638599,0.221303451828954,859.1,1825,173.232,393.3107
"COG1476",1,1,1,0.392385651420189,2942.5,2948,855.651,0
"COG1477",1,1,1,0.260004910385465,1059,2891,192.099,382.6771
"COG1484",1,1,1,0.274779366065879,2210.6,5473,372.629,375.7683
"COG1486",1,1,1,0.242413294797688,671,2795,101.344,97.11347
"COG1530",0.802683886981985,1,0.960536777396397,0.335791366906475,1306.9,2936,61.7775,203.6748
"COG1544",1,1,1,0.374649796656123,829.1,1921,62.6302,340.0363
"COG1546",0.861096175331386,1,0.916461184224144,0.205558553696708,380.9,1578,83.8944,249.2904
"COG1570",0.0261391018851045,1,0.574516775364436,0.18721241305511,349.9,1213,38.613,305.4644
"COG1619",0.0134937841931132,1,0.782173739515752,0.287239819004525,317.4,1115,67.5813,243.6895
"COG1660",0.148567705765543,1,0.829713541153109,0.216508484325568,752.8,3018,103.84,194.2987
